X,Y
0.35237491,0.089554997
4.895123299,-1.280276081
1.866624373,1.289303608
3.507061292,-0.268157012
3.380873836,-0.20680703
0.730937276,0.538669461
3.885623657,-0.484226326
5.652248031,-1.058141698
6.283185307,0.222695473
2.371374194,0.194693837
0.604749821,0.437144573
3.633248747,-0.30104192
0.857124731,0.425144932
2.49756165,0.03761024
1.614249463,0.833364051
5.39987312,-0.437345163
6.156997852,-0.000141108
6.030810397,-0.308575746
0.478562366,0.722554859
2.876124015,-0.372595292
4.516560934,-0.737222919
0.983312187,0.951211821
1.109499642,0.605998553
0.1,0.359152612
2.118999284,0.777071848
1.361874552,0.388647453
4.011811113,-0.559911457
5.778435486,-0.56851939
4.264186023,-1.29168955
1.235687097,0.994909022
2.245186739,0.700138842
1.992811829,0.727781486
1.488062008,0.773288841
4.642748389,-0.746011639
4.390373478,-1.333975564
3.002311471,-0.150508406
0.226187455,0.252524512
5.273685665,-0.956348655
5.021310755,-1.307630721
5.526060576,-0.826518932
2.623749105,0.667509379
4.768935844,-0.572305352
3.128498926,0.076912186
1.740436918,0.739727694
3.759436202,-1.066627407
3.254686381,0.030522423
5.904622941,-0.766467434
4.137998568,-0.835127298
2.74993656,0.121879684
5.14749821,-1.046701617
